C,Penalty,Solver,Class Weight,Threshold,Accuracy,Precision,Recall,F1 Score
1.0,l2,liblinear,None,0.4,0.4901836605446485,0.256789594053745,0.8048835125448028,0.38935847420892933
1.0,l1,liblinear,balanced,0.4,0.4898217678458337,0.25667761748321666,0.8051075268817204,0.3892559298169609
1.0,l1,liblinear,None,0.4,0.4898217678458337,0.25667761748321666,0.8051075268817204,0.3892559298169609
0.01,l2,liblinear,None,0.4,0.4590156518592237,0.24738793394000674,0.8221326164874552,0.38033058707705064
0.01,l2,liblinear,balanced,0.4,0.4590156518592237,0.24738793394000674,0.8221326164874552,0.38033058707705064
0.01,l2,lbfgs,balanced,0.4,0.45878946892246447,0.24737267582861763,0.8225806451612904,0.38036047234307024
0.01,l2,lbfgs,None,0.4,0.45878946892246447,0.24737267582861763,0.8225806451612904,0.38036047234307024
0.01,l1,liblinear,balanced,0.4,0.4339998190536506,0.2411219763252702,0.839605734767025,0.3746501399440224
0.01,l1,liblinear,None,0.4,0.4339998190536506,0.2411219763252702,0.839605734767025,0.3746501399440224
0.001,l2,liblinear,balanced,0.4,0.35687143761874607,0.2237892948173322,0.8850806451612904,0.35724942357249423
0.001,l2,liblinear,None,0.4,0.35687143761874607,0.2237892948173322,0.8850806451612904,0.35724942357249423
0.001,l2,lbfgs,balanced,0.4,0.3567357278566905,0.22371998187584957,0.8848566308243727,0.35714285714285715
0.001,l2,lbfgs,None,0.4,0.3567357278566905,0.22371998187584957,0.8848566308243727,0.35714285714285715
10.0,l2,lbfgs,None,0.3,0.3129919478874514,0.22033279432476136,0.946236559139785,0.3574360059234187
10.0,l2,lbfgs,balanced,0.3,0.3129919478874514,0.22033279432476136,0.946236559139785,0.3574360059234187
10.0,l2,liblinear,balanced,0.3,0.31272052836334024,0.22023468057366363,0.9460125448028673,0.3572909175515039
10.0,l2,liblinear,None,0.3,0.31272052836334024,0.22023468057366363,0.9460125448028673,0.3572909175515039
10.0,l1,liblinear,balanced,0.3,0.3126752917759884,0.2202231956612432,0.9460125448028673,0.3572758037225042
10.0,l1,liblinear,None,0.3,0.3126752917759884,0.2202231956612432,0.9460125448028673,0.3572758037225042
1.0,l2,liblinear,None,0.3,0.3124038722518773,0.22021265506098198,0.9464605734767025,0.3572938689217759
1.0,l2,liblinear,balanced,0.3,0.3124038722518773,0.22021265506098198,0.9464605734767025,0.3572938689217759
1.0,l1,liblinear,None,0.3,0.31213245272776624,0.22014380992080032,0.9464605734767025,0.357203246533649
1.0,l1,liblinear,balanced,0.3,0.31213245272776624,0.22014380992080032,0.9464605734767025,0.357203246533649
1.0,l2,lbfgs,balanced,0.3,0.3118610332036551,0.22010416666666666,0.9466845878136201,0.3571670047329277
1.0,l2,lbfgs,None,0.3,0.3118610332036551,0.22010416666666666,0.9466845878136201,0.3571670047329277
0.01,l2,lbfgs,balanced,0.3,0.2886094273048041,0.2156060606060606,0.9563172043010753,0.3518793273986152
0.01,l2,lbfgs,None,0.3,0.2886094273048041,0.2156060606060606,0.9563172043010753,0.3518793273986152
0.01,l2,liblinear,balanced,0.3,0.288338007780693,0.21554074522871858,0.9563172043010753,0.3517923362175525
0.01,l2,liblinear,None,0.3,0.288338007780693,0.21554074522871858,0.9563172043010753,0.3517923362175525
0.01,l1,liblinear,None,0.3,0.274767031575138,0.21397487884482247,0.9693100358422939,0.3505630721866645
0.01,l1,liblinear,balanced,0.3,0.274767031575138,0.21397487884482247,0.9693100358422939,0.3505630721866645
0.001,l1,liblinear,None,0.4,0.22948520763593594,0.20402204116234163,0.9704301075268817,0.33715997976417483
0.001,l1,liblinear,balanced,0.4,0.22948520763593594,0.20402204116234163,0.9704301075268817,0.33715997976417483
0.001,l2,liblinear,balanced,0.3,0.22401158056636208,0.2051853916922219,0.989247311827957,0.33987531747864236
0.001,l2,liblinear,None,0.3,0.22401158056636208,0.2051853916922219,0.989247311827957,0.33987531747864236
0.001,l2,lbfgs,balanced,0.3,0.22374016104225097,0.20512820512820512,0.989247311827957,0.3397968605724838
0.001,l2,lbfgs,None,0.3,0.22374016104225097,0.20512820512820512,0.989247311827957,0.3397968605724838
0.001,l1,liblinear,balanced,0.3,0.2019361259386592,0.2019361259386592,1.0,0.33601806548739177
0.001,l1,liblinear,None,0.3,0.2019361259386592,0.2019361259386592,1.0,0.33601806548739177
