max_depth,min_samples_split,min_samples_leaf,max_features,criterion,splitter,f1_score,precision,recall,accuracy
30,10,20,log2,gini,random,0.016267311497032314,0.43529411764705883,0.008288530465949821,0.7975662716004704
10,50,20,log2,entropy,best,0.012359302582211433,0.417910447761194,0.0062724014336917565,0.7975662716004704
20,50,10,log2,entropy,random,0.007980492130348038,0.3829787234042553,0.004032258064516129,0.7975662716004704
30,20,20,log2,gini,random,0.016267311497032314,0.43529411764705883,0.008288530465949821,0.7975662716004704
30,20,20,log2,gini,best,0.02823018458197611,0.46099290780141844,0.014560931899641577,0.7975662716004704
30,10,20,log2,gini,best,0.02823018458197611,0.46099290780141844,0.014560931899641577,0.7975662716004704
30,10,10,log2,gini,random,0.021420765027322406,0.44144144144144143,0.010976702508960573,0.7974757984257668
20,10,10,sqrt,entropy,random,0.027795874049945712,0.45390070921985815,0.014336917562724014,0.7974757984257668
10,50,10,,entropy,random,0.049670982806198256,0.47368421052631576,0.02620967741935484,0.7974757984257668
20,20,10,sqrt,entropy,random,0.027795874049945712,0.45390070921985815,0.014336917562724014,0.7974757984257668
30,20,10,log2,gini,random,0.021420765027322406,0.44144144144144143,0.010976702508960573,0.7974757984257668
30,20,10,log2,entropy,best,0.022275606027516926,0.4434782608695652,0.0114247311827957,0.7974757984257668
30,10,10,log2,entropy,best,0.022275606027516926,0.4434782608695652,0.0114247311827957,0.7974757984257668
10,10,10,,entropy,random,0.03987993138936535,0.465,0.020833333333333332,0.7974305618384149
10,20,10,,entropy,random,0.03987993138936535,0.465,0.020833333333333332,0.7974305618384149
30,10,20,sqrt,entropy,random,0.018408941485864562,0.42424242424242425,0.009408602150537635,0.7973853252510631
30,20,20,sqrt,entropy,random,0.018408941485864562,0.42424242424242425,0.009408602150537635,0.7973853252510631
10,10,10,log2,entropy,best,0.007971656333038087,0.34615384615384615,0.004032258064516129,0.7973400886637112
20,20,20,log2,gini,random,0.014951627088830254,0.40476190476190477,0.0076164874551971325,0.7973400886637112
20,10,20,log2,gini,random,0.014951627088830254,0.40476190476190477,0.0076164874551971325,0.7973400886637112
10,20,10,log2,entropy,best,0.007971656333038087,0.34615384615384615,0.004032258064516129,0.7973400886637112
10,20,10,sqrt,gini,best,0.010161254694057875,0.36507936507936506,0.005152329749103943,0.7972948520763593
10,10,10,sqrt,gini,best,0.010161254694057875,0.36507936507936506,0.005152329749103943,0.7972948520763593
20,50,20,log2,gini,random,0.016673979815708645,0.40425531914893614,0.008512544802867384,0.7972496154890075
30,50,10,log2,entropy,random,0.014941771039332015,0.39080459770114945,0.0076164874551971325,0.7972043789016556
30,50,20,log2,gini,random,0.020528499672417558,0.40869565217391307,0.010528673835125449,0.797113905726952
20,50,20,sqrt,gini,best,0.018376722817764167,0.3925233644859813,0.009408602150537635,0.7970234325522483
30,50,20,sqrt,gini,best,0.032758620689655175,0.4318181818181818,0.017025089605734768,0.7969781959648964
20,10,10,log2,entropy,best,0.01664841182913472,0.37623762376237624,0.008512544802867384,0.7969329593775446
20,20,10,log2,entropy,best,0.01664841182913472,0.37623762376237624,0.008512544802867384,0.7969329593775446
20,50,10,sqrt,gini,best,0.0389554794520548,0.4375,0.02038530465949821,0.7968877227901927
30,10,10,sqrt,entropy,random,0.04182671788305591,0.44144144144144143,0.021953405017921146,0.7968877227901927
30,20,10,sqrt,entropy,random,0.04182671788305591,0.44144144144144143,0.021953405017921146,0.7968877227901927
30,10,20,sqrt,gini,best,0.04426473717812301,0.4425531914893617,0.023297491039426525,0.7968424862028408
30,20,20,sqrt,gini,best,0.04426473717812301,0.4425531914893617,0.023297491039426525,0.7968424862028408
30,50,10,sqrt,gini,best,0.08550488599348534,0.46875,0.04704301075268817,0.796797249615489
